,date,category,sentiment_score_1,sentiment_score_2,sentiments,segment
0,2011-04-27,Major Events,0.14897716542085013,0.083297268896198,"[{'label': 'neutral', 'score': 0.9239301085472107, 'length': 500}, {'label': 'neutral', 'score': 0.8706724047660828, 'length': 500}, {'label': 'neutral', 'score': 0.898952066898346, 'length': 500}, {'label': 'negative', 'score': 0.5074357986450195, 'length': 500}, {'label': 'neutral', 'score': 0.9282729625701904, 'length': 500}, {'label': 'neutral', 'score': 0.64765465259552, 'length': 500}, {'label': 'neutral', 'score': 0.7917580604553223, 'length': 500}, {'label': 'neutral', 'score': 0.8414847254753113, 'length': 500}, {'label': 'negative', 'score': 0.8069638609886169, 'length': 500}, {'label': 'positive', 'score': 0.9274404644966125, 'length': 500}, {'label': 'positive', 'score': 0.6422534584999084, 'length': 500}, {'label': 'negative', 'score': 0.5959741473197937, 'length': 500}, {'label': 'negative', 'score': 0.9489004015922546, 'length': 500}, {'label': 'positive', 'score': 0.9463069438934326, 'length': 500}, {'label': 'negative', 'score': 0.9547547698020935, 'length': 500}, {'label': 'neutral', 'score': 0.8981339335441589, 'length': 500}, {'label': 'positive', 'score': 0.7709325551986694, 'length': 500}, {'label': 'positive', 'score': 0.6051946878433228, 'length': 500}, {'label': 'positive', 'score': 0.8870096206665039, 'length': 500}, {'label': 'neutral', 'score': 0.6444189548492432, 'length': 500}, {'label': 'positive', 'score': 0.82261723279953, 'length': 500}, {'label': 'neutral', 'score': 0.6611562967300415, 'length': 231}]",opening_remark
1,2011-04-27,Macro Economy,-0.9144787391026815,-0.9060225288335682,"[{'label': 'negative', 'score': 0.9573180079460144, 'length': 500}, {'label': 'negative', 'score': 0.8631820678710938, 'length': 500}, {'label': 'negative', 'score': 0.9229361414909363, 'length': 500}, {'label': 'neutral', 'score': 0.9146848917007446, 'length': 14}]",qa_pair1
2,2011-04-27,Monetary Policy,0.7860002517700195,0.1778281112601854,"[{'label': 'neutral', 'score': 0.6438936591148376, 'length': 500}, {'label': 'positive', 'score': 0.7860002517700195, 'length': 500}, {'label': 'neutral', 'score': 0.5434320569038391, 'length': 500}, {'label': 'neutral', 'score': 0.723331093788147, 'length': 500}, {'label': 'neutral', 'score': 0.9008076190948486, 'length': 210}]",qa_pair2
3,2011-04-27,Monetary Policy,0.15308374166488647,0.10158177947238652,"[{'label': 'negative', 'score': 0.6157935261726379, 'length': 500}, {'label': 'neutral', 'score': 0.7875879406929016, 'length': 500}, {'label': 'positive', 'score': 0.9219610095024109, 'length': 500}, {'label': 'neutral', 'score': 0.9111858010292053, 'length': 7}]",qa_pair3
4,2011-04-27,Major Events,0.7284680074064399,0.3871053047792422,"[{'label': 'neutral', 'score': 0.3747449219226837, 'length': 500}, {'label': 'positive', 'score': 0.7483797669410706, 'length': 500}, {'label': 'positive', 'score': 0.5798727869987488, 'length': 67}]",qa_pair4
5,2011-04-27,Major Events,-0.3038595080375671,-0.2328068556830885,"[{'label': 'positive', 'score': 0.4879780411720276, 'length': 500}, {'label': 'negative', 'score': 0.9448896050453186, 'length': 500}, {'label': 'negative', 'score': 0.5985878109931946, 'length': 500}, {'label': 'negative', 'score': 0.9330909252166748, 'length': 500}, {'label': 'positive', 'score': 0.4692927598953247, 'length': 500}, {'label': 'neutral', 'score': 0.6896825432777405, 'length': 500}, {'label': 'neutral', 'score': 0.6873171329498291, 'length': 263}]",qa_pair5
6,2011-04-27,Macro Economy,0.3319700026172357,0.3319700026172357,"[{'label': 'positive', 'score': 0.9144487977027893, 'length': 500}, {'label': 'positive', 'score': 0.6118336915969849, 'length': 500}, {'label': 'negative', 'score': 0.7567253112792969, 'length': 500}, {'label': 'positive', 'score': 0.9470592141151428, 'length': 184}]",qa_pair6
7,2011-04-27,Monetary Policy,0.6132393777370453,0.3063133754930296,"[{'label': 'neutral', 'score': 0.48105669021606445, 'length': 500}, {'label': 'positive', 'score': 0.5702167749404907, 'length': 500}, {'label': 'neutral', 'score': 0.7563573122024536, 'length': 500}, {'label': 'positive', 'score': 0.6562619805335999, 'length': 500}, {'label': 'neutral', 'score': 0.9037233591079712, 'length': 2}]",qa_pair7
8,2011-04-27,Monetary Policy,0.0,0.0,"[{'label': 'neutral', 'score': 0.8327398300170898, 'length': 500}, {'label': 'neutral', 'score': 0.7978245615959167, 'length': 500}, {'label': 'neutral', 'score': 0.9321666955947876, 'length': 500}, {'label': 'neutral', 'score': 0.8480557799339294, 'length': 500}, {'label': 'neutral', 'score': 0.5054791569709778, 'length': 500}, {'label': 'neutral', 'score': 0.8337566256523132, 'length': 188}]",qa_pair8
9,2011-04-27,Major Events,0.0,0.0,"[{'label': 'neutral', 'score': 0.7038050293922424, 'length': 115}]",qa_pair9
